,Review Number,Reviewer Rating,Review,Result,Rating Result,Label
17,18,2,공간순에있는 멘트들을봐라ㅋㅋㅋㅋ 영혼없는 멘트들ㅋㅋㅋㅋ 광고티 엄청내고있네 알바들 돈받고 쓰는거면 영혼이라도 좀 넣어라ㅋㅋㅋㅋ,부정,부정,0
18,19,2,지루하고 희멀건한 케츠였다. 어쩜 배역들도 그렇게 안어울리는지. 케릭터 소화를 전혀 못한듯.cg가 맥을 탁 탁 자르는 느낌까지.막판엔 설교까지 하더라.,부정,부정,0
19,20,1,젤리클 고양이에 뽑히면  공중에 고양이 한마리 뛰어놓고 고양이 한마리 진짜 잔인하게 죽이는 영화. 동심 파괴 끝판왕 ..,부정,부정,0
20,21,1,진심 끝나고 어찌나 웃음이 터지던지..맨 마지막엔 공익영상을본듯..고양이를 배려하세요.두둥!,부정,부정,0
21,22,1,남들이 ㅈㄹ할 때는 다 이유가 있다겨울왕국2 ㄱ,긍정,부정,1
22,23,2,잠들었다가 후반부에 메모리만 듣고 왔어요ㅋㅋㅋ,부정,부정,0
23,24,2,정말 별로내요.. 중간에 나오고 싶었습니다,부정,부정,0
24,25,2,눈감고 노래만 들으세요,부정,부정,0
25,26,2,Imdb 평점 2.6 을 한국에선 이렇게 빨아준다고 ?뮤지컬은 뮤지컬인 이유가 있습니다 ^^,긍정,부정,1
26,27,1,고양이 열기구에 올려 놓고 하늘 저멀리 대기권 까지 뛰어놓고 천국 드립 치면서 기괴 하게 죽이는 영화는 또 처음보네 이 잔인한걸 뮤지컬로 승화해서 만드네 진짜 잔인 하고 기괴 하고 잔혹하다 사람이 고양이를 연기해서 ...,부정,부정,0
27,28,1,젤리클이 뭔지 알려줘...,부정,부정,0
28,29,1,상영내내 피식 비슷한 소리도 안나고 다들 벙쪄서 봤네요. 이 장면 다음에 설마 이거인가.. 하면 그대로 나오는 90년대 식 개그에 바퀴벌레 씬은 최악이었습니다,부정,부정,0
29,30,1,돈 돌려달라고 할 뻔 했어요. 기대가 커서였을까요? 아니면 뮤지컬을 본 적이 있어서였을까요? 너무 지루해서 눈이 감길 뻔 했어요. 건질것을 memory노래뿐..식구들 원성에 ...돈 쓰고 욕먹었네요,부정,부정,0
30,31,2,"메모리를 기다리며 1시간 45분을 허벅지를 찌르며 졸음과의 사투를 벌였고 , 마지막 할머니고양이가 사람들에게 설교할때는 정말 뛰쳐나가고 싶었다",부정,부정,0
31,32,4,나도 모르게 잠들게 되는 영화... 기대감이 높은게 문제일까?,부정,부정,0
32,33,1,배우들 고생했다 으 ㅜㅠ 개불편해 바퀴벌레 실화야,부정,부정,0
33,34,1,으악으악으악으악으악억,부정,부정,0
34,35,2,진짜 별로에요 정말 30분도 안되서 나오고 싶었음...왕비추입니다..  빅토리아가 예뻐서 빅토리아만 봄..너무 예뻐서 찾아보니 연기자가 아니라 수석발레단이라니 대박..,부정,부정,0
35,36,1,이 영화때문에 크리스마스 망침. 자다 나왔어요.,부정,부정,0
36,37,1,사람고양이가 사람바퀴벌레를 뜯어먹습니다!,부정,부정,0
37,38,2,평점 좋게 준 사람들은 같이 죽자는건가,부정,부정,0
38,39,1,응~물음표로 시작해서 물음표로 끝나는 영화,부정,부정,0
39,40,1,"백두산을 피하려다 고양이한테 당했네... 진짜 너무 지루함. 고양이한테 캐비어줘라, 고양이는 개가 아니다 할때 헛웃음나옴. 끝날듯 끝나지않는 같은 멜로디와 가사들...ㅋㅋㅋㅋ 좀 심했다고 생각함",부정,부정,0
40,41,1,영화 10분 늦었는데 90분 늦을걸 그랬어요,부정,부정,0
41,42,1,의미를 알 수없는 노래와 춤이 끊임없이 반복되서 집중도안되고 지루함;; 하.. 진짜 이렇게 중간에 나가고 싶었던 영화 처음임ㅋㅋㅋ,부정,부정,0
42,43,1,10점 주신 분들 아이디 클릭해보시면 다른 영화도 다 10점 줌.. 결론은 뭐다? 그리고 영화 감상평 톰 후퍼 감독에게 실망.,부정,부정,0
43,44,6,서사가 부실해서 그냥 너무 졸렸음....,부정,부정,0
44,45,1,누가 코고는 소리를 내었는가?,부정,부정,0
45,46,5,네이버를 뺀 모든 곳에서 평점이 역대급 바닥을 찍고있다. 나도 보려다가 포기함. 여기 의문의 리뷰들에 낚이지 말고 잘 판단하길.,부정,부정,0
46,47,10,"Look, a new day has begun",부정,긍정,1
47,48,1,시종일관 노래불러서 힘들었음그냥 간단히 대사칠 수 있는 것도 노래부를려고 입을 오믈거릴때 입을 꿰메고 싶었음 진심 노잼보고나니 두통오네,부정,부정,0
48,49,1,크리스마스 망쳐줘서 고맙다 하하^^,부정,부정,0
49,50,10,왜 9시부터 평이 있냐고? 시사회는 장식으로 있냐? 당연히 시사회 보고왔으니 평이 있지 ㅉㅉ..,부정,긍정,1
50,51,10,연말에 춤과 노래가 빠지면 섭하지,긍정,긍정,0
51,52,10,뮤지컬로 기다렸는데 이렇게 영화로 보게되다니~~~젤 큰관에서 사운드 빵빵하게 최고!!,긍정,긍정,0
52,53,10,ㅎ 캣츠는 언제나 캣츠당 노래 쩐다,긍정,긍정,0
53,54,10,"뮤지컬로 꼭 보고 싶었지만 기회가 없었는데, 영화로라도 만나게 되어 너무도 감사합니다.",긍정,긍정,0
54,55,10,솔직히 메모리 하나만으로도 10점임 그리고 생각보다 화면미도 좋았고 무엇보다 빅토리아 존예 존귀....,긍정,긍정,0
55,56,10,메모리가 다 했다ㅜ 진짜 미쳤음ㅜㅜ,부정,긍정,1
56,57,10,뮤지컬형식으로 한순간의 지루함없이 즐길수 있었던 영화,긍정,긍정,0
57,58,9,"초호화 캐스팅에 연기도 좋았고, 앤드류가 참여해서인지 노래도 다 좋았음. 글고 뮤지컬은 스토리가 없는 반면 빅토리아 캐릭터가 이끄는 것도 난 다 좋았음",긍정,긍정,0
58,59,10,다른 이들에게 휘둘리지 말고춤과 노래를 좋아한다면 꼭 보세요가슴 떨리던 영화였어요,긍정,긍정,0
59,60,5,사실 저는 캣츠는 뮤지컬로 남는게 좋았을거라 생각합니다.. 하 인간바퀴벌레 진짜ㅋㅋㅋㅋ그리고 혼자 영화보러간 입장에서 썸타는 인간고양이들을 보고있자니 제 눈깔을 찔러버리고 싶더군요... 제일 보기 힘들었던건 제니애니...,긍정,부정,1
60,61,2,와....진짜 두시간 내내진짜 진심 최악의 영화였음,부정,부정,0
61,62,2,역시 빈수레가 요란하다는게 맞았음. 영화적 재미 전혀 없고 그냥 뮤지컬 실황중계 보는거 같았음. 제니퍼허드슨의 메모리는 그냥..드림걸스 노래 듣는거 같아서 그닥.,부정,부정,0
63,64,1,어떻게 평점이 이렇게 높은지 이해가 안됨. 정말 최악의 영화임. 여자친구랑 헤어지실 분 추천,부정,부정,0
64,65,4,캣츠 뮤지컬을 보고 영화를 봤는데도 좋았다는 사람은 작품이해력이 안좋거나 별점 알바인듯...,긍정,부정,1
65,66,1,정말로 평점 알바가 있다는걸 처음 알았다.,부정,부정,0
66,67,4,영상은 좋은데 기대가 너무 높아던지 보다가 나왔음,부정,부정,0
67,68,4,캣츠 좋아하는 영화인데 이 영화 진짜 . 고양이 몸짓을 감상하자니 배경과 분리도 안 되고 노래에 빠지자니 가슴 절절한 메모리 마져 억지스럽고 영상이든 스토리든 고양이든 뭐라도 한가지는 있어야지. 너무 오바스러워서 철...,부정,부정,0
68,69,1,제발 보지마세요....,부정,부정,0
69,70,1,옆 사람이 혐오스러운걸 봤을때 어떤 표정을 지을지가 궁금하다면 이 영화를 추천합니다.,부정,부정,0
70,71,4,Cg가 아무리 좋게 보려고 해도 넘 괴랄해서 뮤지컬영화임에도 영상미 좋다는 생각을 한번도 못했어요 음악도 메모리 빼곤 그닥 기억에도 안 남고 스토리도 뭐....휴....,부정,부정,0
71,72,7,젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 젤리클 고양이~~~,긍정,부정,1
72,73,1,남편이랑 서로 돌아가면서 자고 깨워주고 반복함 ㅋㅋㅋㅋ,부정,부정,0
73,74,1,진짜 역대급 최악이다 이런 영화는 핵폐기물 저장소에 쳐박고 절대 다시는 못꺼내게 해야한다,부정,부정,0
74,75,1,1점 주기도 아까운 영화... ㅠ 졸다가 도저히 끝까지 보기 힘들어서 나왔어요. 먼저 나온사람이 승자인 영화 ^^,부정,부정,0
76,77,4,바퀴벌레 보고 식겁했다 진짜,부정,부정,0
77,78,4,노래가 좋은건 알겠다. 근데 그게 영화 평점이 되는 애들은 영화란 게 뭔지 모르는건가,부정,부정,0
78,79,1,지금 이거 보자고 한 친구 죽였습니다 아마 젤리클 고양이들의 천국에 갔겠죠,긍정,부정,1
79,80,1,네이버 댓글 알바의 실체를 낱낱이 보여주는 영화,부정,부정,0
80,81,7,메모리만 듣기에는 9천원은 너무한거 아니냐,부정,부정,0
81,82,1,분장은 잘했어요 연기도춤도좋은데 솔직히 2시간을 고양이 분장한사람이 뛰고 구르고노래한것만 보다온 느낌..이런작품에 고평점을 주기에는 우리는 별 감동이없다,부정,부정,0
82,83,1,알바들 미칫나,부정,부정,0
83,84,6,노래 잘하고 춤 잘추는 건 사실이다. 그런데 왜 재미가 없지?,부정,부정,0
84,85,1,누가 캣츠가 재밌다는 소리를 내었는가 그놈은 머리에 마구니가 들었다,부정,부정,0
85,86,1,재미도 없고 감동도 없습니다. 너무 시간아까워서 1시간만에 나왔어요. 다른 거 보세요 시간낭비하고 싶지 않으면. 이런 것도 영화라고ㅋㅋ 관객에게 전달하고자 하는 바가 뭔지도 모르겠고.. 진짜 화납니다,부정,부정,0
87,88,1,알바들 애쓴다... 상단 차지한건 다 10점짜리네 ㅋㅋ 최신으로 보면 대부분 낮은데,부정,부정,0
88,89,4,중간에 나갈까말까 세번 고민함...ㅠㅜ,긍정,부정,1
89,90,1,처음 별점 남겨봅니다. OO 젤리클,긍정,부정,1
90,91,1,"참 개같네요^^이거보느니 맨날 깡패, 검사, 경찰 나오는 코리안 김치 무비 보는게 낫겠다고 생각한 영화는 또 처음이네요^^ㅎㅎ 연말 망치고 싶으신 분께 추천합니다^^77",긍정,부정,1
91,92,1,그냥 한 마디만 할게요. 졸ㄹ라 징그러워요,부정,부정,0
92,93,2,영화관이 너무 더워서 제대로 잠을 잘수가 없었네요,부정,부정,0
93,94,4,역쉬 뮤지컬이 더 좋네요 영화로 표현하기엔 너무 짧았고 가장 중요한 부분도 너무 짧게 노래하고 감동할 시간적 여유가 없었네요,긍정,부정,1
94,95,1,별점 5점짜리 알바생들 많이 풀어놨네 ㅋㅋㅋㅋ 어떻게 ㅈ망작으로 평가받는 드래곤볼 에볼루션이 더 낫다는 평이 나왔겠냐,부정,부정,0
95,96,2,정말 눈물나는 영화에요ㅠ 하품이 계속 났거든요 하암~~~,긍정,부정,1
96,97,1,레알 킬링타임도 안되고 고양이똥같은 영화입니다.댓글알바 믿지 마시고 가실분은 밤새고 가세요.,부정,부정,0
97,98,1,역대 최악의 영화입니다레미제라블을 만들었다는 것이 거짓말 같습니다https://m.blog.naver.com/mok527/221749254806저같은 피해자가 생기지않는 마음으로 포스팅도 했습니다 절대 보지마세요.....,부정,부정,0
98,99,1,고양이라면 환장하는 나로서 방금 울면서 영화를 보고나옴.... 20년 전부터 우연한 기회로 뮤지컬 캣츠를 지금까지 즐겨보고 DVD까지 구매하여 수십번 넘게 봐온 입장으로서.... 참 암담했다. 뮤지컬과 영화를 비교하...,긍정,부정,1
99,100,2,극장을 나온 뒤 이 세상의 모든 개를 사랑해야겠다는 강한 결심이 생겨났다.,긍정,부정,1
100,101,1,영화보다 처음 푹잤음 평점도 처음 씀 크리스마스라고 예매해놓고 시간돈아까운영화,부정,부정,0
101,102,1,가족끼리 보다 나옴.뮤지컬로 봐봐야겠음.,긍정,부정,1
102,103,3,착잡하다. 사람이든 고양이든 하나만 해야지 이도저도 아닌 저 생명체는 뭐냐고요,부정,부정,0
103,104,1,후퍼 형 집에 우환있어?,부정,부정,0
104,105,1,여러분들 제가 리뷰 처음써보는데불쾌한골짜기로 시작해서불쾌한 골짜기로 끝납니다.돈시간 모든게 아까운영화,부정,부정,0
105,106,1,이렇게나 알바가 많다니...,부정,부정,0
106,107,2,누가 이 끔찍한 물건을 세상에 풀어놓았단 말인가,긍정,부정,1
107,108,1,이게 재밌다고 ..ㅋㅋ? 와우,긍정,부정,1
108,109,3,"스토리 없고, 막무가내 노래 때려박기, 양산형 한국 영화가 더 낫다고 느낄정도의 수준낮은 영화",부정,부정,0
109,110,3,순간 모르게 자서 옆에 친구들 보니까 다 자고 있었음,부정,부정,0
110,111,1,돈 십만원줄테니 다시봐달라고 빌어도 안봄뮤지컬 본거중에 최악임교양있는척하면서 뮤지컬영화면 다 재밌고 감동이라고 내뇌망상 하지마시길,부정,부정,0
111,112,2,뮤지컬 보고 한 껏 기대하고 봤는데스토리는 없고 노래만 나오는데재미가 없어요 이렇게 재미없는영화는 처음이에요.,부정,부정,0
112,113,2,우리 동네 고양이 보는게 더 꿀잼임,긍정,부정,1
113,114,1,영화가 끝나니 커플이 입 벌리고 자고 있었다. 돈주고 왜 보는지 의문이 들었다,부정,부정,0
114,115,2,34년 인생... 영화보다가 나왔네요..젤리클 캣 젤리클캣... 그놈의 젤리클캣이 뭔지... 와이프도 지루하다며 ... 옆에 아저씬 코골고 주무시고;;; ㅠ잘생각해보세요. 라라랜드 기대하면서 갔다가 그냥... ㅎ ㅏ...,부정,부정,0
115,116,1,"""호기심이 사람을 죽인다.""얼마나 망했길래?얼마나 이상하길래?얼마나 무섭길래?(스티븐 킹 조차 소름돋는다 할 정도.)얼마나 괴이 하길래 이렇게 말이 많은가?보면 알겠지, 란 생각에 혹시 모를 맘에 여친...",부정,부정,0
116,117,2,평점거의 안쓰는데요.  집중력 꽝.  너무 재미없어요.,부정,부정,0
117,118,10,뮤지컬을 좋아하는 분만..,부정,긍정,1
118,119,1,마지막에 할망구와 아이컨택하며 고양이한테 예의갖춰 인사하고 캐비어 주라는 설교 들을 땐 진짜 정신이 이상해지는 것 같았음,부정,부정,0
119,120,1,영화 끝나고 주위 둘러보니 숙면 취한 사람들 진짜 많았다. 내 평생 극장에서 이렇게 많은 사람들하고 같이 자보긴 처음이다. 리얼 팩트임,부정,부정,0
120,121,4,사람마다 호불호가 갈리겠지만... 등장인물 소개로 시간이 다 가고 노래만 주구장창 나오고 밋밋하다. 지루해서 30분정도 자고 일어나서 제대로 봤지만 역시나 언제 끝나나 시간만 쳐다본 영화. 감상평은 매우 지루하다는것...,부정,부정,0
121,122,1,cg가 cg다운 영화.. cg때문에 집중안되는 영화..,부정,부정,0
122,123,1,아 젤리먹고싶다...,긍정,부정,1
123,124,2,이건 별 하나도 아까움. 유튜브 보는게 더 재미있음. 평점알바놈들이 활개를 치네.,부정,부정,0
124,125,1,젤리클인지 큐티클인지 노래만 부르다가 2시간이 끝이납니다뮤지컬 영화라면 안가리고 좋아하는데 처음으로 실패를 경험하고 돌아갑니다,부정,부정,0
125,126,2,"내돈주고 본 후기입니다.영화는 기승전결이 있어야 한다고 생각하며, 뮤지컬 영화 좋아하는 편입니다.영화의 기승전결 중에서 승과 결만 있고, 기와 전이 없습니다... ㅋㅋㅋ그래픽도 캐릭터들은 cg티가 크게 안나는데, 배...",긍정,부정,1
126,127,1,크리스마스를 엉망으로 만든 영화,부정,부정,0
127,128,1,재밌어요. 꼭 보셈.나만 당할 순 없지.,긍정,부정,1
128,129,1,뮤지컬 접하지도 못 했고 좋아하지 않는다면 절대 보지마세요 시간아까워 죽겠음,부정,부정,0
129,130,1,마지막 메모리 이분만 보면됨,부정,부정,0
130,131,1,아니 영화에 내용이 하나도 없고 야옹이 예찬만 잔뜩하냐,부정,부정,0
131,132,1,영화 상영중 눈을 뜨지 말것 !,부정,부정,0
132,133,5,솔직히 고양이들 분장이 보기가 부담스러웠다. 그리고 영화자체가 여러 부족한점이 많아서 개인적으로는 실망이었다.,부정,부정,0
133,134,1,1시간 40분동안 노래하고 춤추면서 자기소개하고 마지막에 명언처럼 하는말이 고양이에게 맛있는 것좀 먹이고 예의있게 인사하레요.ㅤㅎㅏㅎ,긍정,부정,1
134,135,1,재미도 없고 감동도 없음,부정,부정,0
135,136,4,"메모리 한 곡으로 심폐소생술 성공^^노익장도 빛났고, CG로 빚어낸 귀 쫑긋...표정연기도 나뿌지 않았지만...기본적으로 지루함. 아쉽~",부정,부정,0
136,137,1,노래로만 이어지는 스토리다보니 스토리 따라가기가 어렵다. 뮤지컬이 왜 뮤지컬로만 남아야 하는지 알 것 같다. 레미제라블을 연출한 감독님이 하셨다길래 솔직히 엄청 기대하고 봐서 기대에 못미쳐서 더 실망했을수도 있음; ...,부정,부정,0
137,138,1,영화가 끝나면 시작할때와 달리 좌석이 몇몇 비어있어요. 사람들이 사라지는 마법의 영화. 다들 최면에 걸린듯이 같은 말을 하는 마법도 볼수있어요. ‘돈아깝다’,부정,부정,0
138,139,2,영화보다 졸음이 마구 쏟아짐..스토리에 개연성도 전혀 없고..낚여서 봤네요ㅋㅋㅠ,부정,부정,0
139,140,1,와 이거 초반에 5점 가득한 댓글들 다 어디갔어요. 고민한다면 절대보지마시구요. 캣츠 노래가 너무 '듣고' 싶으면 가세요.,부정,부정,0
140,141,2,진심재미없음.(스토리 난감)보다가 나옴.캣츠매니아 아니면 비추천.,부정,부정,0
141,142,1,개노잼 개노잼 개노잼 개노잼,부정,부정,0
142,143,1,난 가능.,긍정,부정,1
143,144,2,와이프가 영화 초반 지나고나니 정말 잘 자더라구요. 영화점수는 0점인데 자는 와이프가 이뻐서 2점 추가해서 드려요. 영화는 진심 노잼,부정,부정,0
144,145,1,나만 훈훈하게 한해를 마무리할 수 없지(부들부들) 정말 재미맛집임 모두들 캣츠보러와요 함깨 훈훈한 한해를 마무리해요오~ 메모리이잉,긍정,부정,1
145,146,2,메모리때문에 1점 주려다 2점 줌말로 해도 되는 걸 굳이 노래하는 점도 노래때문에 서사구조가 미흡한 점도 지루하기 그지 없었음,부정,부정,0
146,147,2,절대보지마세요 진짜 아직도 분하다,부정,부정,0
147,148,3,자기소개 잘 들었습니다,부정,부정,0
148,149,1,미국 평론가들이 보다가 눈알을 뽑아버리고 싶었다는 바로 그영화... 악몽같은 영화는 끝이 났지만 남겨진 우리는 살아가야만 한다는것이 끔찍하다는 바로 그 전설의 영화군요.,긍정,부정,1
149,150,2,이렇게 재미없는 영화는 처음입니다. 그냥 자기 소개하는 노래들이 언제면 끝나고 본이야기가 시작될까...하는데 그낭 영화가끝나네요.,부정,부정,0
151,152,1,진짜 보는게 힘들어요ㅠ 처음부터 끝까지 노래만 불러요 이게 뭐야,부정,부정,0
152,153,1,주제가  뭔지 하나도 모르겠음,부정,부정,0
153,154,1,....이걸 돈주고 봤다 내가,부정,부정,0
154,155,6,음악은 이렇게 신나는데 잠이 올수가있다는걸 깨달았습니다,부정,부정,0
155,156,1,내가 새로 사귄 여자친구랑 이브날 이거 보는데 옆에서 30분만에 고개 젖히고 자더라 ㅋㅋㅋㅋ,부정,부정,0
156,157,2,자다가 중간에 나왔어요비추입니다,부정,부정,0
157,158,2,노래만 건질만함 영화보다가 잠듬,부정,부정,0
158,159,2,테일러 팬이라 보러갔는데 진짜 개빡치네평점알바 썼는지 비정상적으로 평점이높음,부정,부정,0
159,160,2,좋아하는 작품이 영화로 재미없게 만들어져 속상합니다 ...,부정,부정,0
160,161,4,야밤에 고양이들끼리 생쑈하다가 마지막에 고양이 찬양으로 끝나네 ㅋㅋ 감동도 그닥...,부정,부정,0
161,162,2,톰 후퍼 독도는 한국땅까지 말하고 갔어야 해.,긍정,부정,1
162,163,2,엥?이한마디로 요약가능,부정,부정,0
163,164,1,이건 찐이다. 진심 노잼,부정,부정,0
164,165,1,젤리클이 모냐고...,부정,부정,0
165,166,1,알바 막아야됨. 굳이 열심히 찾지 않으면 광고인지 아닌지 구분하기가 힘듦..,부정,부정,0
166,167,1,네이버평점다 쌉구라니깐 믿지말고요 평생영화보다잔적없는데 자다가 중간에 영화다안보고 걍 나갔습니다 ㅋㅋ 메가박스에서 7천원주고 예쁜티켓하나만얻고 ㅋㅋㅋㅋ큐ㅠㅠㅠㅠ 진짜 시간낭비이니깐 안보ㅤㅅㅑㅆ으면좋겠습니다,부정,부정,0
167,168,1,와 진짜 너무 지루하다 제발 보지마세요 자러 갈거아니면. 공간이동도 없고 걍 고양이 각자 노래로 소개하다가 한마리 뽑아서 죽이고 그게 끝. 영화보면서 잤다. 실망실망 대실망.,부정,부정,0
168,169,1,정말 재미없다. 중간에 나가고 싶었다. 주구장창 노래만 부르다가 끝난다. 마지막 10분을 위해 1시간 반을 노래만 부른다. 뮤지컬 식 영화를 싫어하는 사람에겐 맞지 않는다. 많이 지루한 영화였다....,부정,부정,0
169,170,4,서사도 없고 Memory 외에 딱히 귀에 꽂히는 넘버도 없이 화려한 배경과 군무로만 영화를 채워나가다보니 짧지않은 러닝타임이 다소 지루하게 느껴짐. 뮤지컬은 그나마 현장감으로 커버할텐데..,부정,부정,0
170,171,1,겨우겨우 버텼서 이제 끝났구나 빨리나가고 싶어서 안달나있는데 마지막에 늙은고양이 계속 쓸데없는 소리 나불델때  극장이라 마음속으로 그입다물라 를 수십번 외쳤다,부정,부정,0
171,172,1,"Oh, my eyes~!! wanna forget my MEMORY!!!",부정,부정,0
172,173,1,시작하자마자 잠들었어요^~^개꿀잼,부정,부정,0
173,174,2,졸려 죽을뻔 진짜 대사 다합쳐서 영화 통틀어 3분도 안됨 주구장창 노래만 하는데 재미가 없구 지겨움 서사같은게 1도 없어 영화에 몰입이 되지 않음,부정,부정,0
174,175,2,인생 최초로 두번씩이나 졸면서 돈이 아까워 극한의 인내로 본 영화..외국 악평 무시하고 설마하고 본 걸 너무나도 후회하게 만든 최초의 영화..영화의 절반이 고양이 캐릭터 소개 노래로 소비한 영화..평점이란걸 주기조차...,부정,부정,0
175,176,6,뮤지컬  생각하고 보면  정말 음악과 춤만 있음.중간중간에 일반적인 대사들도 포함시켰으면 훨씬 좋을듯.시간안에 뮤지컬의 음악을 보여주기위해서  내용전달이 미흡함.원작을 이해하지 못한 사람들은 잘 이해가 안가다가 중간...,부정,부정,0
176,177,1,징그러운건 둘째 치고 그나마 믿을만 했던 노래도 별로... 편곡을 어케한건지 노래들이 죄다 매가리가 없음. 스토리 없는 원작에 빈약하디 빈약한 스토리를 구겨넣어서 더 이상.. 초록 쫄쫄이 입고 열심히 기어다녔을 배우...,부정,부정,0
177,178,1,여자친구랑 정말 오랜만에 푹잔거 같습니다. 불면증인 분들이 보시면 될거 같습니다,긍정,부정,1
178,179,4,개봉전부터 혹평이 자자했지만 캣츠를 좋아하는 사람으로서 ‘아무리 망해도 노래는 남겠지’라는 생각을 가지고 봤는데 영상이 너무 망해서 노래까지 몰입이 안되는 상황이 벌어짐. 빅토리아 빼고 다 안어울림.,부정,부정,0
179,180,4,"뮤지컬영화가 이렇게 지루할수 있는지 알려준 영화..그럼에도 불구하고 별2개를 준 이윤,배우들의 춤,노래가 너무 좋았고, 애묘인의 시각으로 봤을때 고양이 특유의 유려한 몸짓을 아름답게 잘 표현해준 배우들의 몸짓과 CG...",긍정,부정,1
180,181,2,최악의 쓰레기 영화 감독의 이전 재능은 어디로 간것인가.,부정,부정,0
181,182,2,평점이 높아서 하나 올려요 그냥 화면 크게 뮤직비디오 보는 느낌이구요 계속 노래만 나와요 재미없고요 고양이 얼굴에 사람 입이 정말 보기힘들었습니다,부정,부정,0
182,183,2,럼 텀 터거 노래가 너무 약해져서 크게 실망. 바퀴벌레 장면은 최악.영화에 새로 추가된 노래 별로.메모리 조차 감동적이지 않게 편곡.별점 0점을 주고 싶어요,부정,부정,0
183,184,1,후...나에게 평점 댓글을 남기게 하다니...보통 개인마다 느끼는 차이가 있을 거라 생각하고 댓글 알바니 뭐니 신경 안쓰고 내 느낌대로 영화를 선택하는데여자친구가 크리스마스에 유명한 뮤지컬 켓츠 개봉한다고 티켓을 예...,부정,부정,0
184,185,1,아..진짜 너무 너무 별루ㅠ..진짜 실망..스토리 연출 안무 노래 뭐하나 괜찮은게 하나도없어서 아쉽다못해 화가남..ㅠ그나마 주인공(아기고양이역)얼굴이 예뻐서 그거하나 볼만했다는..,부정,부정,0
185,186,1,발레 영상임? 다 떠나서 무슨 내용임?,긍정,부정,1
186,187,1,뮤지컬 기대하고 가신분들은 보지마세요. 최악입니다.,부정,부정,0
187,188,1,살면서 멀미를 느껴본 적 없는 내가 이걸 보고 처음으로 멀미를 느껴봤어요.아마 맹자가 이걸 봤으면 자기가 주장한 성선설은 옳지 않았다는걸 깨달았겠죠?,부정,부정,0
188,189,2,최악이예요!! 여러분들!! 신나게 자고올거아니면 보지마세요~~~ 돈아까워요 .볼거면 통로쪽 앉으세요 . 그래야 중간에 나올수있으니깐 ^^,부정,부정,0
189,190,1,호불호 많이 갈릴거 같은 영화네요 저는 영화보다가 나온건 이게 처음입니다 백두산 평점이 많이 쓰레기라 뮤지컬 영화 그닥 좋아하진 않는데 보게 되었어요 처음부터 끝까지 춤추고 노래만 하네요 아무리 뮤지컬 영화래도 라라...,부정,부정,0
190,191,4,"한달을 기다린 나의 기대작이었는데 너무 아쉬웠어욤.... 이 영화 보고나오면서, 분명 나는 뮤지컬 영화를 좋아했는데.. 사실 뮤지컬영화를 좋아하지 않았나..? 라는 정체성 혼란까지 왔네요 ㅋㅋ ost는 너무 좋아서 ...",긍정,부정,1
191,192,10,뮤지컬처럼 재밌었습니다 ㅎㅎㅎㅎ레미제라블 맘마미아 같은 스토리보다 캣츠만의 발랄함이 있네요 ㅎㅎ고양이이야기,긍정,긍정,0
